,Especie,idade,HT_Est,DAP,densidade
0,Handroanthus serratifolius,1,-4.4589332e-14,0.47199783,1.08
1,Handroanthus serratifolius,2,1.6404017,2.0244887,1.08
2,Handroanthus serratifolius,3,3.192133,3.8032317,1.08
3,Handroanthus serratifolius,4,4.655194,5.50927,1.08
4,Handroanthus serratifolius,5,6.0295844,7.0760226,1.08
5,Handroanthus serratifolius,6,7.3153048,8.498968,1.08
6,Handroanthus serratifolius,7,8.512355,9.79022,1.08
7,Handroanthus serratifolius,8,9.620734,10.965251,1.08
8,Handroanthus serratifolius,9,10.640443,12.038879,1.08
9,Handroanthus serratifolius,10,11.571482,13.024169,1.08
10,Handroanthus serratifolius,11,12.413851,13.932306,1.08
11,Handroanthus serratifolius,12,13.167548,14.772766,1.08
12,Handroanthus serratifolius,13,13.832576,15.553565,1.08
13,Handroanthus serratifolius,14,14.408934,16.281498,1.08
14,Handroanthus serratifolius,15,14.896621,16.962349,1.08
15,Handroanthus serratifolius,16,15.295637,17.601065,1.08
16,Handroanthus serratifolius,17,15.605984,18.2019,1.08
17,Handroanthus serratifolius,18,15.82766,18.768536,1.08
18,Handroanthus serratifolius,19,15.960665,19.304167,1.08
19,Handroanthus serratifolius,20,16.005,19.811586,1.08
20,Handroanthus serratifolius,21,16.005,20.293243,1.08
21,Handroanthus serratifolius,22,16.005,20.751303,1.08
22,Handroanthus serratifolius,23,16.005,21.187674,1.08
23,Handroanthus serratifolius,24,16.005,21.60406,1.08
24,Handroanthus serratifolius,25,16.005,22.001978,1.08
25,Handroanthus serratifolius,26,16.005,22.382788,1.08
26,Handroanthus serratifolius,27,16.005,22.747713,1.08
27,Handroanthus serratifolius,28,16.005,23.097853,1.08
28,Handroanthus serratifolius,29,16.005,23.434206,1.08
29,Handroanthus serratifolius,30,16.005,23.757675,1.08
30,Cariniana legalis,1,2.3619995e-14,0.47199783,0.53
31,Cariniana legalis,2,3.0181286,2.0244887,0.53
32,Cariniana legalis,3,5.9178996,3.8032317,0.53
33,Cariniana legalis,4,8.699312,5.50927,0.53
34,Cariniana legalis,5,11.362367,7.0760226,0.53
35,Cariniana legalis,6,13.9070635,8.498968,0.53
36,Cariniana legalis,7,16.333403,9.79022,0.53
37,Cariniana legalis,8,18.641382,10.965251,0.53
38,Cariniana legalis,9,20.831005,12.038879,0.53
39,Cariniana legalis,10,22.902271,13.024169,0.53
40,Cariniana legalis,11,24.855177,13.932306,0.53
41,Cariniana legalis,12,26.689726,14.772766,0.53
42,Cariniana legalis,13,28.405916,15.553565,0.53
43,Cariniana legalis,14,30.00375,16.281498,0.53
44,Cariniana legalis,15,31.483225,16.962349,0.53
45,Cariniana legalis,16,32.84434,17.601065,0.53
46,Cariniana legalis,17,34.0871,18.2019,0.53
47,Cariniana legalis,18,35.211502,18.768536,0.53
48,Cariniana legalis,19,36.217545,19.304167,0.53
49,Cariniana legalis,20,37.10523,19.811586,0.53
50,Cariniana legalis,21,37.874557,20.293243,0.53
51,Cariniana legalis,22,38.525524,20.751303,0.53
52,Cariniana legalis,23,39.058136,21.187674,0.53
53,Cariniana legalis,24,39.47239,21.60406,0.53
54,Cariniana legalis,25,39.768284,22.001978,0.53
55,Cariniana legalis,26,39.94582,22.382788,0.53
56,Cariniana legalis,27,40.005,22.747713,0.53
57,Cariniana legalis,28,40.005,23.097853,0.53
58,Cariniana legalis,29,40.005,23.434206,0.53
59,Cariniana legalis,30,40.005,23.757675,0.53
60,Dalbergia nigra,1,-5.1417204e-15,1.2184131,0.87
61,Dalbergia nigra,2,1.7355844,3.7235408,0.87
62,Dalbergia nigra,3,3.4031065,6.135603,0.87
63,Dalbergia nigra,4,5.0025663,8.277345,0.87
64,Dalbergia nigra,5,6.5339646,10.162496,0.87
65,Dalbergia nigra,6,7.9973,11.830286,0.87
66,Dalbergia nigra,7,9.392574,13.317623,0.87
67,Dalbergia nigra,8,10.719786,14.654849,0.87
68,Dalbergia nigra,9,11.978935,15.866161,0.87
69,Dalbergia nigra,10,13.170022,16.970814,0.87
70,Dalbergia nigra,11,14.293047,17.984224,0.87
71,Dalbergia nigra,12,15.34801,18.918863,0.87
72,Dalbergia nigra,13,16.334911,19.78492,0.87
73,Dalbergia nigra,14,17.25375,20.590803,0.87
74,Dalbergia nigra,15,18.104527,21.343525,0.87
75,Dalbergia nigra,16,18.887241,22.048986,0.87
76,Dalbergia nigra,17,19.601894,22.712187,0.87
77,Dalbergia nigra,18,20.248484,23.337402,0.87
78,Dalbergia nigra,19,20.827011,23.928312,0.87
79,Dalbergia nigra,20,21.337479,24.488108,0.87
80,Dalbergia nigra,21,21.779882,25.019562,0.87
81,Dalbergia nigra,22,22.154222,25.525114,0.87
82,Dalbergia nigra,23,22.460503,26.006907,0.87
83,Dalbergia nigra,24,22.69872,26.466839,0.87
84,Dalbergia nigra,25,22.868876,26.906599,0.87
85,Dalbergia nigra,26,22.970968,27.32769,0.87
86,Dalbergia nigra,27,23.005,27.731462,0.87
87,Dalbergia nigra,28,23.005,28.119131,0.87
88,Dalbergia nigra,29,23.005,28.491789,0.87
89,Dalbergia nigra,30,23.005,28.850426,0.87
90,Khaya grandifoliola,1,2.5366738,1.6795728,0.66
91,Khaya grandifoliola,2,4.313156,5.2654624,0.66
92,Khaya grandifoliola,3,6.019973,8.657519,0.66
93,Khaya grandifoliola,4,7.6571236,11.855745,0.66
94,Khaya grandifoliola,5,9.224608,14.860139,0.66
95,Khaya grandifoliola,6,10.722426,17.670702,0.66
96,Khaya grandifoliola,7,12.150579,20.287432,0.66
97,Khaya grandifoliola,8,13.509066,22.71033,0.66
98,Khaya grandifoliola,9,14.797887,24.939396,0.66
99,Khaya grandifoliola,10,16.017042,26.97463,0.66
100,Khaya grandifoliola,11,17.16653,28.816032,0.66
101,Khaya grandifoliola,12,18.246353,30.463604,0.66
102,Khaya grandifoliola,13,19.25651,31.917343,0.66
103,Khaya grandifoliola,14,20.197,33.17725,0.66
104,Khaya grandifoliola,15,21.067825,34.243324,0.66
105,Khaya grandifoliola,16,21.868984,35.11557,0.66
106,Khaya grandifoliola,17,22.600477,35.79398,0.66
107,Khaya grandifoliola,18,23.262304,36.27856,0.66
108,Khaya grandifoliola,19,23.854464,36.56931,0.66
109,Khaya grandifoliola,20,24.376959,36.666225,0.66
110,Khaya grandifoliola,21,24.829788,36.666225,0.66
111,Khaya grandifoliola,22,25.212952,36.666225,0.66
112,Khaya grandifoliola,23,25.526447,36.666225,0.66
113,Khaya grandifoliola,24,25.770279,36.666225,0.66
114,Khaya grandifoliola,25,25.944445,36.666225,0.66
115,Khaya grandifoliola,26,26.048943,36.666225,0.66
116,Khaya grandifoliola,27,26.083776,36.666225,0.66
117,Khaya grandifoliola,28,26.083776,36.666225,0.66
118,Khaya grandifoliola,29,26.083776,36.666225,0.66
119,Khaya grandifoliola,30,26.083776,36.666225,0.66
120,Plathymenia reticulata,2,3.5611558,2.8731198,0.55
121,Plathymenia reticulata,3,4.7274966,6.1496434,0.55
122,Plathymenia reticulata,4,5.8419995,9.280543,0.55
123,Plathymenia reticulata,5,6.9046655,12.2658205,0.55
124,Plathymenia reticulata,6,7.915494,15.105474,0.55
125,Plathymenia reticulata,7,8.874485,17.799505,0.55
126,Plathymenia reticulata,8,9.781639,20.347912,0.55
127,Plathymenia reticulata,9,10.636955,22.750696,0.55
128,Plathymenia reticulata,10,11.440434,25.007856,0.55
129,Plathymenia reticulata,11,12.192076,27.119394,0.55
130,Plathymenia reticulata,12,12.89188,29.085308,0.55
131,Plathymenia reticulata,13,13.539847,30.9056,0.55
132,Plathymenia reticulata,14,14.135977,32.580265,0.55
133,Plathymenia reticulata,15,14.680269,34.10931,0.55
134,Plathymenia reticulata,16,15.172724,35.492733,0.55
135,Plathymenia reticulata,17,15.613341,36.73053,0.55
136,Plathymenia reticulata,18,16.002121,37.822704,0.55
137,Plathymenia reticulata,19,16.339064,38.769257,0.55
138,Plathymenia reticulata,20,16.62417,39.570183,0.55
139,Plathymenia reticulata,21,16.857437,40.225487,0.55
140,Plathymenia reticulata,22,17.038868,40.73517,0.55
141,Plathymenia reticulata,23,17.168463,41.099228,0.55
142,Plathymenia reticulata,24,17.246218,41.31766,0.55
143,Plathymenia reticulata,25,17.272137,41.390476,0.55
144,Plathymenia reticulata,26,17.272137,41.390476,0.55
145,Plathymenia reticulata,27,17.272137,41.390476,0.55
146,Plathymenia reticulata,28,17.272137,41.390476,0.55
147,Plathymenia reticulata,29,17.272137,41.390476,0.55
148,Plathymenia reticulata,30,17.272137,41.390476,0.55
